[2026-06-17T17:36:16.751Z] Path: /api/chat | Error: {"error":"Unknown column 'reactions' in 'field list'"}
[2026-06-18T06:58:14.648Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:14.659Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:14.668Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:14.699Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:14.743Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:14.814Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:14.905Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:48.669Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:48.676Z] Path: /api/chat/company-members | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:53.609Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:58:57.611Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:01.622Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:05.629Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:09.616Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:14.622Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:14.627Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:14.635Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:14.664Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:14.701Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:14.707Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T06:59:14.734Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:00:14.622Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:00:14.623Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:00:14.625Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:00:14.638Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:00:14.646Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:00:14.648Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:00:14.681Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:09.764Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:09.793Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:10.023Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:10.050Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:10.158Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:10.691Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:10.989Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:12.361Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:12.371Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:12.665Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:13.664Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:13.666Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:13.715Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:16.363Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:16.658Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:20.363Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:20.658Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:22.372Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:22.374Z] Path: /api/notifications | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:23.660Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:23.663Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:23.698Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:24.355Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:24.667Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:28.367Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:28.666Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:32.368Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:32.369Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:32.661Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:33.654Z] Path: /api/candidates | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:33.656Z] Path: /api/attendance/hub | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:33.700Z] Path: /api/tasks | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:36.404Z] Path: /api/announcements/unread | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
[2026-06-18T07:01:37.628Z] Path: /api/chat | Error: {"error":"connect ECONNREFUSED 127.0.0.1:3306"}
